student_id,name,gender,age,attendance_percentage,internal_score_1,internal_score_2,internal_score_3,assignment_submission_rate,participation_score,library_usage_hours,extracurricular_score,final_grade,performance_label
STU166,Student 166,Male,22,78.81,16.82,27.36,32.94,97.75,3,8.72,46.31,D,At Risk
STU167,Student 167,Female,20,80.34,33.95,25.38,25.27,98.41,5,21.88,49.86,C,Average
STU168,Student 168,Male,22,71.21,39.82,27.24,47.61,80.86,10,9.64,38.02,B,Good
STU169,Student 169,Male,21,86.82,45.48,42.11,28.9,99.09,9,11.56,40.82,A,Excellent
STU170,Student 170,Female,18,96.72,39.99,38.15,18.05,90.29,6,14.57,23.49,B,Good
STU171,Student 171,Female,22,96.28,43.06,21.48,36.6,66.47,9,27.57,47.66,B,Good
STU172,Student 172,Male,22,72.54,26.88,21.09,18.98,79.08,8,7.3,31.19,D,At Risk
STU173,Student 173,Male,18,55.66,43.52,18.44,27.08,88.73,8,2.14,39.3,C,Average
STU174,Student 174,Female,21,99.24,17.8,38.11,32.76,69.89,1,3.68,46.96,D,At Risk
STU175,Student 175,Female,19,91.94,46.32,41.75,45.6,85.62,9,27.33,49.01,A,Excellent
STU176,Student 176,Female,22,56.23,34.17,24.28,32.27,86.66,6,20.13,43.33,D,At Risk
STU177,Student 177,Male,18,96.04,43.61,15.73,39.58,66.51,9,9.65,22.12,C,Average
STU178,Student 178,Male,20,93.49,30.83,17.88,49.75,82.6,3,6.96,48.66,C,Average
STU179,Student 179,Male,18,75.94,37.53,48.88,19.6,90.87,3,10.24,35.12,C,Average
STU180,Student 180,Male,20,79.56,33.42,25.34,24.62,79.96,6,5.21,47.23,C,Average
STU181,Student 181,Male,21,69.95,40.61,41.92,28.81,60.48,9,28.36,37.04,C,Average
STU182,Student 182,Male,19,52.74,17.86,36.86,29.76,60.36,7,23.96,22.29,D,At Risk
STU183,Student 183,Female,18,66.76,17.11,28.37,29.39,74.28,3,14.95,24.8,D,At Risk
STU184,Student 184,Male,22,90.14,23.65,22.2,46.77,97.05,3,26.22,32.02,C,Average
STU185,Student 185,Male,21,50.23,20.58,19.25,39.99,69.15,2,8.98,41.6,D,At Risk
STU186,Student 186,Male,18,66.67,45.51,36.53,36.28,85.37,9,22.08,22.72,B,Good
STU187,Student 187,Female,22,69.91,22.67,42.11,25.83,68.88,3,25.97,33.19,D,At Risk
STU188,Student 188,Male,18,76.87,49.16,37.54,43.83,72.87,5,11.99,23.82,B,Good
STU189,Student 189,Male,20,95.99,26.79,33.56,48.43,93.92,9,23.21,42.63,B,Good
STU190,Student 190,Female,18,67.32,21.37,16.47,43.74,89.15,8,10.26,28.67,C,Average
STU191,Student 191,Male,18,67.35,42.64,48.9,15.05,63.82,2,10.37,13.07,D,At Risk
STU192,Student 192,Male,18,86.88,38.05,42.95,37.27,77.15,3,5.0,16.64,B,Good
STU193,Student 193,Male,21,72.61,32.44,25.25,16.79,61.17,2,14.32,12.44,D,At Risk
STU194,Student 194,Male,18,61.23,34.44,49.3,24.02,79.24,8,22.43,29.97,C,Average
STU195,Student 195,Male,22,72.62,40.17,36.07,17.08,86.5,6,28.33,14.25,C,Average
STU196,Student 196,Female,20,57.04,23.0,35.38,36.13,64.74,6,18.91,14.57,D,At Risk
STU197,Student 197,Female,20,58.82,49.87,41.18,39.03,71.56,9,26.17,47.64,B,Good
STU198,Student 198,Female,18,74.92,49.12,43.41,19.01,75.91,8,25.03,44.91,B,Good
STU199,Student 199,Male,21,70.95,37.76,37.98,28.43,96.78,4,6.85,28.08,C,Average
STU200,Student 200,Male,21,95.74,21.98,19.48,30.97,99.73,4,15.6,49.43,C,Average
STU201,Student 201,Male,22,68.12,38.81,26.84,27.92,61.8,9,5.27,10.01,C,Average
STU202,Student 202,Female,18,79.03,17.53,47.48,19.24,90.44,1,21.1,34.56,D,At Risk
STU203,Student 203,Male,20,81.61,16.07,22.86,29.66,74.87,2,28.6,34.66,D,At Risk
STU204,Student 204,Male,21,50.65,24.02,28.03,41.29,75.7,2,5.84,28.3,D,At Risk
STU205,Student 205,Female,18,83.18,31.19,30.12,17.49,90.17,6,22.55,25.88,C,Average
STU206,Student 206,Male,21,58.9,45.39,30.38,17.81,96.74,4,19.7,28.22,C,Average
STU207,Student 207,Female,21,98.05,40.45,36.45,27.42,98.04,10,18.34,26.6,B,Good
STU208,Student 208,Female,20,57.43,40.99,48.01,47.96,83.08,3,12.92,39.22,B,Good
STU209,Student 209,Female,19,70.73,29.89,23.42,38.4,74.28,3,11.94,15.41,D,At Risk
STU210,Student 210,Male,22,54.27,27.11,19.25,38.75,91.5,3,3.27,17.91,D,At Risk
STU211,Student 211,Male,22,99.84,27.99,21.91,27.67,70.04,6,8.1,17.22,C,Average
STU212,Student 212,Male,20,75.11,49.57,46.04,35.78,82.56,8,2.42,20.5,B,Good
STU213,Student 213,Male,21,79.77,16.4,37.6,15.35,74.34,7,18.28,31.01,D,At Risk
STU214,Student 214,Male,18,53.35,45.35,25.01,37.26,86.27,4,4.96,14.45,C,Average
STU215,Student 215,Male,21,87.5,35.25,43.56,46.97,69.62,4,26.44,44.73,B,Good
STU216,Student 216,Male,20,60.5,30.35,45.15,36.44,67.66,10,16.65,21.89,C,Average
STU217,Student 217,Female,22,94.9,40.38,44.63,45.58,96.73,2,21.59,16.5,B,Good
STU218,Student 218,Male,21,60.26,32.03,47.16,40.34,64.07,1,13.5,37.02,C,Average
STU219,Student 219,Female,22,59.53,45.57,23.83,19.22,80.24,9,17.7,11.52,C,Average
STU220,Student 220,Male,18,51.83,46.52,41.43,46.59,68.83,2,28.39,34.8,C,Average
STU221,Student 221,Male,22,73.6,29.76,31.12,17.33,61.56,8,4.32,37.93,D,At Risk
STU222,Student 222,Male,22,78.24,24.69,44.47,33.69,61.44,9,9.11,18.6,C,Average
STU223,Student 223,Female,19,53.29,35.73,40.5,19.97,67.01,4,23.84,11.68,D,At Risk
STU224,Student 224,Female,19,88.78,46.93,42.18,15.41,94.67,8,4.76,24.55,B,Good
STU225,Student 225,Female,19,72.66,22.37,37.97,29.77,71.3,9,4.12,13.94,C,Average
STU226,Student 226,Female,22,76.22,36.8,21.21,25.33,98.02,10,12.12,14.66,C,Average
STU227,Student 227,Male,20,72.04,37.1,34.08,32.01,83.26,10,4.58,20.17,B,Good
STU228,Student 228,Female,22,70.04,40.66,49.46,35.2,77.46,5,18.38,21.82,B,Good
STU229,Student 229,Male,20,77.98,19.6,47.81,16.53,83.2,7,8.34,31.2,C,Average
STU230,Student 230,Male,20,57.76,40.05,16.51,19.31,80.67,10,27.08,37.14,D,At Risk
STU231,Student 231,Female,19,59.1,46.82,20.77,34.55,90.35,4,23.94,33.71,C,Average
STU232,Student 232,Female,21,93.09,21.29,19.61,27.01,71.3,1,21.59,15.93,D,At Risk
STU233,Student 233,Female,18,97.31,23.31,40.41,40.52,74.12,3,19.27,16.88,C,Average
STU234,Student 234,Female,19,68.67,49.0,43.62,37.83,95.76,5,26.18,45.15,B,Good
STU235,Student 235,Female,19,63.54,21.33,22.47,44.6,97.86,3,8.25,32.33,D,At Risk
STU236,Student 236,Female,21,82.2,44.9,32.7,39.24,95.7,7,26.45,44.8,B,Good
STU237,Student 237,Female,18,70.44,32.23,44.42,30.05,76.78,9,24.11,24.86,C,Average
STU238,Student 238,Female,22,51.27,23.65,40.65,38.55,91.21,6,22.95,34.58,C,Average
STU239,Student 239,Male,22,57.81,45.48,33.98,24.64,79.05,10,17.72,30.95,C,Average
STU240,Student 240,Female,19,85.8,30.59,35.66,25.72,79.9,1,8.89,22.76,D,At Risk
STU241,Student 241,Female,18,82.95,33.02,32.79,42.61,68.19,7,13.86,28.8,C,Average
STU242,Student 242,Male,19,51.35,27.57,25.41,30.62,83.65,3,24.22,30.1,D,At Risk
STU243,Student 243,Female,20,61.1,35.75,34.78,42.94,67.45,5,2.89,18.03,C,Average
STU244,Student 244,Male,19,61.55,20.72,39.11,43.78,73.26,10,23.9,22.6,C,Average
STU245,Student 245,Male,19,83.59,28.69,45.57,45.01,94.2,4,8.72,41.66,B,Good
STU246,Student 246,Female,22,50.99,48.93,37.27,47.08,68.28,10,6.04,46.63,B,Good
STU247,Student 247,Male,22,55.21,24.03,41.64,30.08,62.85,5,5.24,24.39,D,At Risk
STU248,Student 248,Male,22,90.0,37.99,20.6,26.16,62.76,5,2.76,22.28,D,At Risk
STU249,Student 249,Male,20,58.93,26.38,31.15,35.38,97.63,6,16.66,17.81,C,Average
STU250,Student 250,Male,22,82.64,42.07,15.33,27.99,80.28,10,8.11,37.14,C,Average
STU251,Student 251,Female,18,61.91,19.58,23.63,36.04,76.38,10,29.7,22.92,D,At Risk
STU252,Student 252,Male,21,54.97,48.94,40.43,39.7,92.44,6,18.08,49.51,B,Good
STU253,Student 253,Female,18,62.16,30.88,49.71,39.09,93.43,8,5.86,23.03,B,Good
STU254,Student 254,Male,18,86.11,23.26,18.47,28.11,73.29,8,21.29,25.77,D,At Risk
STU255,Student 255,Male,22,92.78,17.57,29.05,20.84,87.74,9,27.14,34.13,C,Average
STU256,Student 256,Male,21,91.51,20.94,43.0,30.07,90.84,8,22.87,42.07,B,Good
STU257,Student 257,Male,21,69.86,33.19,22.14,19.99,86.19,2,4.14,28.78,D,At Risk
STU258,Student 258,Female,21,83.4,26.8,34.43,46.15,66.06,10,27.08,26.91,B,Good
STU259,Student 259,Female,20,60.25,44.01,40.66,27.11,95.04,1,24.23,49.83,C,Average
STU260,Student 260,Male,22,64.66,30.08,36.56,20.41,81.56,10,6.43,10.42,C,Average
STU261,Student 261,Male,21,94.82,23.7,21.58,15.89,71.3,2,3.45,45.8,D,At Risk
STU262,Student 262,Female,20,50.65,36.6,27.44,37.6,77.01,2,17.6,15.97,D,At Risk
STU263,Student 263,Male,19,54.28,39.74,42.43,37.29,61.5,3,6.37,41.44,C,Average
STU264,Student 264,Male,19,60.39,20.85,34.4,26.92,65.11,10,25.37,34.72,D,At Risk
STU265,Student 265,Male,20,51.33,20.87,15.18,17.51,90.62,7,12.03,23.67,D,At Risk
STU266,Student 266,Female,20,59.07,16.28,41.63,29.34,60.0,2,27.56,44.95,D,At Risk
STU267,Student 267,Female,22,79.15,40.77,16.24,25.89,76.66,1,17.84,10.52,D,At Risk
STU268,Student 268,Female,22,71.07,38.23,41.1,38.7,80.9,6,7.11,19.07,B,Good
STU269,Student 269,Male,19,94.63,31.61,22.09,36.2,62.19,9,5.91,32.68,C,Average
STU270,Student 270,Male,21,90.87,44.55,48.53,27.76,98.92,3,18.14,24.06,B,Good
STU271,Student 271,Female,19,67.09,43.2,27.88,22.63,69.05,6,23.33,34.42,D,At Risk
STU272,Student 272,Female,21,62.97,35.49,26.44,49.58,72.17,3,23.88,10.96,C,Average
STU273,Student 273,Female,21,68.98,45.39,20.21,30.89,72.16,1,9.72,14.66,D,At Risk
STU274,Student 274,Female,22,79.51,22.2,25.7,39.09,69.22,5,7.72,15.08,D,At Risk
STU275,Student 275,Male,18,63.4,18.92,45.68,19.92,60.06,10,2.47,17.57,D,At Risk
STU276,Student 276,Female,18,81.21,24.44,49.87,32.0,89.17,4,21.02,28.37,C,Average
STU277,Student 277,Male,20,70.47,17.0,27.89,15.96,98.67,7,4.14,40.09,D,At Risk
STU278,Student 278,Female,22,77.6,33.59,30.7,32.69,68.97,6,13.78,46.22,C,Average
